,id,ticker,lastUpdated
521,521,CAS,2021-04-16
522,522,CAT,2021-04-16
523,523,CATO,2021-04-16
524,524,CB,2021-04-16
525,525,CBAH,2021-04-16
526,526,CBB,2021-04-16
527,527,CBB^B,2021-04-16
528,528,CBD,2021-04-16
529,529,CBH,2021-04-16
530,530,CBRE,2021-04-16
531,531,CBT,2021-04-16
532,532,CBU,2021-04-16
533,533,CBZ,2021-04-16
534,534,CC,2021-04-16
535,535,CCAC,2021-04-16
536,536,CCEP,2021-04-16
537,537,CCI,2021-04-16
538,538,CCIV,2021-04-16
539,539,CCJ,2021-04-16
540,540,CCK,2021-04-16
541,541,CCL,2021-04-16
542,542,CCM,2021-04-16
543,543,CCO,2021-04-16
544,544,CCS,2021-04-16
545,545,CCU,2021-04-16
546,546,CCV,2021-04-16
547,547,CCVI,2021-04-16
548,548,CCX,2021-04-16
549,549,CCZ,2021-04-16
550,550,CDAY,2021-04-16
551,551,CDE,2021-04-16
552,552,CDR,2021-04-16
553,553,CDR^B,2021-04-16
554,554,CDR^C,2021-04-16
555,555,CE,2021-04-16
556,556,CEA,2021-04-16
557,557,CEE,2021-04-16
558,558,CEIX,2021-04-16
559,559,CELP,2021-04-16
560,560,CEM,2021-04-16
561,561,CEN,2021-04-16
562,562,CEPU,2021-04-16
563,563,CEQP,2021-04-16
564,564,CEQP^,2021-04-16
565,565,CF,2021-04-16
566,566,CFG,2021-04-16
567,567,CFG^D,2021-04-16
568,568,CFG^E,2021-04-16
569,569,CFR,2021-04-16
570,570,CFR^B,2021-04-16
571,571,CFX,2021-04-16
572,572,CFXA,2021-04-16
573,573,CGA,2021-04-16
574,574,CGAU,2021-04-16
575,575,CHAA,2021-04-16
576,576,CHCT,2021-04-16
577,577,CHD,2021-04-16
578,578,CHE,2021-04-16
579,579,CHGG,2021-04-16
580,580,CHH,2021-04-16
581,581,CHMI,2021-04-16
582,582,CHMI^A,2021-04-16
583,583,CHMI^B,2021-04-16
584,584,CHN,2021-04-16
585,585,CHPT,2021-04-16
586,586,CHRA,2021-04-16
587,587,CHS,2021-04-16
588,588,CHT,2021-04-16
589,589,CHWY,2021-04-16
590,590,CI,2021-04-16
591,591,CIA,2021-04-16
592,592,CIB,2021-04-16
593,593,CIEN,2021-04-16
594,594,CIF,2021-04-16
595,595,CIG,2021-04-16
596,596,CII,2021-04-16
597,597,CIM,2021-04-16
598,598,CIM^A,2021-04-16
599,599,CIM^B,2021-04-16
600,600,CIM^C,2021-04-16
601,601,CIM^D,2021-04-16
602,602,CINR,2021-04-16
603,603,CIO,2021-04-16
604,604,CIO^A,2021-04-16
605,605,CIR,2021-04-16
606,606,CIT,2021-04-16
607,607,CIT^B,2021-04-16
608,608,CIXX,2021-04-16
609,609,CKH,2021-04-16
610,610,CL,2021-04-16
611,611,CLAS,2021-04-16
612,612,CLB,2021-04-16
613,613,CLDR,2021-04-16
614,614,CLDT,2021-04-16
615,615,CLF,2021-04-16
616,616,CLGX,2021-04-16
617,617,CLH,2021-04-16
618,618,CLI,2021-04-16
619,619,CLII,2021-04-16
620,620,CLIM,2021-04-16
621,621,CLNC,2021-04-16
622,622,CLNY,2021-04-16
623,623,CLNY^G,2021-04-16
624,624,CLNY^H,2021-04-16
625,625,CLNY^I,2021-04-16
626,626,CLNY^J,2021-04-16
627,627,CLPR,2021-04-16
628,628,CLR,2021-04-16
629,629,CLS,2021-04-16
630,630,CLVT,2021-04-16
631,631,CLW,2021-04-16
632,632,CLX,2021-04-16
633,633,CM,2021-04-16
634,634,CMA,2021-04-16
635,635,CMC,2021-04-16
636,636,CMCM,2021-04-16
637,637,CMD,2021-04-16
638,638,CMG,2021-04-16
639,639,CMI,2021-04-16
640,640,CMO,2021-04-16
641,641,CMO^E,2021-04-16
642,642,CMP,2021-04-16
643,643,CMRE,2021-04-16
644,644,CMRE^B,2021-04-16
645,645,CMRE^C,2021-04-16
646,646,CMRE^D,2021-04-16
647,647,CMRE^E,2021-04-16
648,648,CMS,2021-04-16
649,649,CMS^B,2021-04-16
650,650,CMSA,2021-04-16
651,651,CMSC,2021-04-16
652,652,CMSD,2021-04-16
653,653,CMU,2021-04-16
654,654,CNA,2021-04-16
655,655,CNC,2021-04-16
656,656,CND,2021-04-16
657,657,CNF,2021-04-16
658,658,CNHI,2021-04-16
659,659,CNI,2021-04-16
660,660,CNK,2021-04-16
661,661,CNMD,2021-04-16
662,662,CNNE,2021-04-16
663,663,CNO,2021-04-16
664,664,CNO^A,2021-04-16
665,665,CNP,2021-04-16
666,666,CNP^B,2021-04-16
667,667,CNQ,2021-04-16
668,668,CNR,2021-04-16
669,669,CNS,2021-04-16
670,670,CNX,2021-04-16
671,671,CO,2021-04-16
672,672,CODI,2021-04-16
673,673,CODI^A,2021-04-16
674,674,CODI^B,2021-04-16
675,675,CODI^C,2021-04-16
676,676,COE,2021-04-16
677,677,COF,2021-04-16
678,678,COF^G,2021-04-16
679,679,COF^H,2021-04-16
680,680,COF^I,2021-04-16
681,681,COF^J,2021-04-16
682,682,COF^K,2021-04-16
683,683,COG,2021-04-16
684,684,COLD,2021-04-16
685,685,COMP,2021-04-16
686,686,COO,2021-04-16
687,687,COP,2021-04-16
688,688,COR,2021-04-16
689,689,CORR,2021-04-16
690,690,CORR^A,2021-04-16
691,691,COTY,2021-04-16
692,692,COUR,2021-04-16
693,693,CP,2021-04-16
694,694,CPA,2021-04-16
695,695,CPAC,2021-04-16
696,696,CPB,2021-04-16
697,697,CPE,2021-04-16
698,698,CPF,2021-04-16
699,699,CPG,2021-04-16
700,700,CPK,2021-04-16
701,701,CPLG,2021-04-16
702,702,CPNG,2021-04-16
703,703,CPRI,2021-04-16
704,704,CPS,2021-04-16
705,705,CPSR,2021-04-16
706,706,CPT,2021-04-16
707,707,CPTK,2021-04-16
708,708,CPUH,2021-04-16
709,709,CR,2021-04-16
710,710,CRC,2021-04-16
711,711,CRD/A,2021-04-16
712,712,CRD/B,2021-04-16
713,713,CRH,2021-04-16
714,714,CRHC,2021-04-16
715,715,CRI,2021-04-16
716,716,CRK,2021-04-16
717,717,CRL,2021-04-16
718,718,CRM,2021-04-16
719,719,CRS,2021-04-16
720,720,CRT,2021-04-16
721,721,CRU,2021-04-16
722,722,CRY,2021-04-16
723,723,CS,2021-04-16
724,724,CSAN,2021-04-16
725,725,CSL,2021-04-16
726,726,CSLT,2021-04-16
727,727,CSPR,2021-04-16
728,728,CSR,2021-04-16
729,729,CSR^C,2021-04-16
730,730,CSTA,2021-04-16
731,731,CSTM,2021-04-16
732,732,CSU,2021-04-16
733,733,CSV,2021-04-16
734,734,CTA^A,2021-04-16
735,735,CTA^B,2021-04-16
736,736,CTAC,2021-04-16
737,737,CTB,2021-04-16
738,738,CTBB,2021-04-16
739,739,CTDD,2021-04-16
740,740,CTK,2021-04-16
741,741,CTLT,2021-04-16
742,742,CTO,2021-04-16
743,743,CTOS,2021-04-16
744,744,CTR,2021-04-16
745,745,CTS,2021-04-16
746,746,CTT,2021-04-16
747,747,CTVA,2021-04-16
748,748,CUB,2021-04-16
749,749,CUBB,2021-04-16
750,750,CUBE,2021-04-16
751,751,CUBI,2021-04-16
752,752,CUBI^C,2021-04-16
753,753,CUBI^D,2021-04-16
754,754,CUBI^E,2021-04-16
755,755,CUBI^F,2021-04-16
756,756,CUK,2021-04-16
757,757,CULP,2021-04-16
758,758,CURO,2021-04-16
759,759,CUZ,2021-04-16
760,760,CVA,2021-04-16
761,761,CVE,2021-04-16
762,762,CVEO,2021-04-16
763,763,CVI,2021-04-16
764,764,CVII,2021-04-16
765,765,CVNA,2021-04-16
766,766,CVS,2021-04-16
767,767,CVX,2021-04-16
768,768,CW,2021-04-16
769,769,CWEN,2021-04-16
770,770,CWH,2021-04-16
771,771,CWK,2021-04-16
772,772,CWT,2021-04-16
773,773,CX,2021-04-16
774,774,CXE,2021-04-16
775,775,CXH,2021-04-16
776,776,CXP,2021-04-16
777,777,CXW,2021-04-16
778,778,CYD,2021-04-16
779,779,CYH,2021-04-16
780,780,D,2021-04-16
781,781,DAC,2021-04-16
782,782,DAL,2021-04-16
783,783,DAN,2021-04-16
784,784,DAO,2021-04-16
785,785,DAR,2021-04-16
786,786,DASH,2021-04-16
787,787,DAVA,2021-04-16
788,788,DB,2021-04-16
789,789,DBD,2021-04-16
790,790,DBI,2021-04-16
791,791,DBL,2021-04-16
792,792,DCF,2021-04-16
793,793,DCI,2021-04-16
794,794,DCO,2021-04-16
795,795,DCP,2021-04-16
796,796,DCP^B,2021-04-16
797,797,DCP^C,2021-04-16
798,798,DCUE,2021-04-16
799,799,DD,2021-04-16
800,800,DDD,2021-04-16
801,801,DDF,2021-04-16
802,802,DDS,2021-04-16
803,803,DDT,2021-04-16
804,804,DE,2021-04-16
805,805,DEA,2021-04-16
806,806,DECK,2021-04-16
807,807,DEH,2021-04-16
808,808,DEI,2021-04-16
809,809,DELL,2021-04-16
810,810,DEN,2021-04-16
811,811,DEO,2021-04-16
812,812,DESP,2021-04-16
813,813,DEX,2021-04-16
814,814,DFIN,2021-04-16
815,815,DFNS,2021-04-16
816,816,DFP,2021-04-16
817,817,DFS,2021-04-16
818,818,DG,2021-04-16
819,819,DGNR,2021-04-16
820,820,DGX,2021-04-16
821,821,DHF,2021-04-16
822,822,DHI,2021-04-16
823,823,DHR,2021-04-16
824,824,DHR^A,2021-04-16
825,825,DHR^B,2021-04-16
826,826,DHT,2021-04-16
827,827,DHX,2021-04-16
828,828,DIAX,2021-04-16
829,829,DIN,2021-04-16
830,830,DIS,2021-04-16
831,831,DK,2021-04-16
832,832,DKL,2021-04-16
833,833,DKS,2021-04-16
834,834,DLB,2021-04-16
835,835,DLNG,2021-04-16
836,836,DLNG^A,2021-04-16
837,837,DLNG^B,2021-04-16
838,838,DLR,2021-04-16
839,839,DLR^C,2021-04-16
840,840,DLR^J,2021-04-16
841,841,DLR^K,2021-04-16
842,842,DLR^L,2021-04-16
843,843,DLX,2021-04-16
844,844,DLY,2021-04-16
845,845,DM,2021-04-16
846,846,DMB,2021-04-16
847,847,DMO,2021-04-16
848,848,DMS,2021-04-16
849,849,DMYD,2021-04-16
850,850,DMYI,2021-04-16
851,851,DNB,2021-04-16
852,852,DNMR,2021-04-16
853,853,DNOW,2021-04-16
854,854,DNP,2021-04-16
855,855,DNZ,2021-04-16
856,856,DOC,2021-04-16
857,857,DOCN,2021-04-16
858,858,DOOR,2021-04-16
859,859,DOV,2021-04-16
860,860,DOW,2021-04-16
861,861,DPG,2021-04-16
862,862,DPZ,2021-04-16
863,863,DQ,2021-04-16
864,864,DRD,2021-04-16
865,865,DRE,2021-04-16
866,866,DRH,2021-04-16
867,867,DRH^A,2021-04-16
868,868,DRI,2021-04-16
869,869,DRQ,2021-04-16
870,870,DRUA,2021-04-16
871,871,DS,2021-04-16
872,872,DS^B,2021-04-16
873,873,DS^C,2021-04-16
874,874,DS^D,2021-04-16
875,875,DSE,2021-04-16
876,876,DSL,2021-04-16
877,877,DSM,2021-04-16
878,878,DSSI,2021-04-16
879,879,DSU,2021-04-16
880,880,DSX,2021-04-16
881,881,DSX^B,2021-04-16
882,882,DT,2021-04-16
883,883,DTB,2021-04-16
884,884,DTE,2021-04-16
885,885,DTF,2021-04-16
886,886,DTJ,2021-04-16
887,887,DTLA^,2021-04-16
888,888,DTP,2021-04-16
889,889,DTW,2021-04-16
890,890,DTY,2021-04-16
891,891,DUK,2021-04-16
892,892,DUK^A,2021-04-16
893,893,DUKB,2021-04-16
894,894,DUKH,2021-04-16
895,895,DVA,2021-04-16
896,896,DVD,2021-04-16
